Sample No,Printer Type,Material,Layer Thickness (mm),Infill Density (%),Infill Pattern,Speed ​​(mm/s),Roughness AVG,Hardness AVG,Peak Load (N),Peak Stress (kPa),Strain at Break (mm/mm),Modulus (MPa),Width (mm),Thickness (mm)
395,closed ,PLA+,0.2,50,tri hexagon,30,2.8673333333333333,80.2,696.9673333333334,37174.26666666666,0.013,3370.551,6.05,3.1
396,closed ,PLA+,0.2,50,octet,30,2.9506666666666668,76.3,622.7893333333333,31872.96666666666,0.01266666666666667,3005.251666666667,5.963333333333334,3.276666666666667
397,closed ,PLA+,0.2,50,concentric,30,3.470333333333333,77.5,751.5863333333333,38728.2,0.013,3394.758666666667,6.073333333333333,3.196666666666667
398,closed ,PLA+,0.2,50,cross3d,30,3.0386666666666664,74.3,591.945,30333.85,0.0145,2696.6215,5.93,3.299999999999999
399,closed ,PLA+,0.2,50,lightning,30,3.579333333333333,76.5,606.6763333333333,30779.03333333334,0.01266666666666667,2818.911,6.186666666666667,3.186666666666667
400,closed ,PLA+,0.2,50,cubic,50,3.859666666666667,78.0,742.8616666666667,37428.06666666667,0.01366666666666667,3341.632333333333,6.04,3.286666666666667
401,closed ,PLA+,0.2,50,octet,50,4.95,79.4,726.882,36232.7,0.01366666666666667,3238.145,6.23,3.22
402,closed ,PLA+,0.2,50,concentric,50,5.282666666666667,79.3,862.54,42160.86666666667,0.015,3469.124666666667,6.263333333333333,3.266666666666667
403,closed ,PLA+,0.2,50,cross3d,50,3.7103333333333333,79.0,662.8816666666667,33620.46666666667,0.014,3027.870666666667,6.02,3.276666666666667
404,closed ,PLA+,0.2,50,lines,70,5.3823333333333325,80.5,689.0586666666667,35447.1,0.01266666666666667,3281.287666666667,6.153333333333333,3.16
405,closed ,PLA+,0.2,50,cubic,70,5.454666666666667,80.3,784.8770000000001,40914.7,0.01466666666666667,3480.244333333334,6.086666666666666,3.153333333333334
406,closed ,PLA+,0.2,50,octet,70,5.475666666666666,78.2,743.3389999999999,37784.03333333333,0.01433333333333333,3269.579666666667,6.22,3.163333333333334
407,closed ,PLA+,0.2,50,concentric,70,5.385333333333333,80.5,877.5010000000001,47098.5,0.016,3775.904,6.063333333333333,3.073333333333334
408,closed ,PLA+,0.2,50,gyroid,70,5.485333333333333,78.4,737.6826666666666,39060.73333333334,0.014,3483.834,6.073333333333333,3.11
409,closed ,PLA+,0.2,80,lines,30,4.184666666666667,79.1,738.0603333333333,38928.1,0.01166666666666667,3938.530666666667,6.116666666666667,3.1
410,closed ,PLA+,0.2,80,cubic,30,3.5596666666666668,81.0,825.9140000000001,43030.63333333333,0.01233333333333333,4085.496,6.109999999999999,3.143333333333333
411,closed ,PLA+,0.2,80,octet,30,2.89,78.1,771.788,39100.63333333333,0.01166666666666667,3898.6,6.106666666666666,3.233333333333333
412,closed ,PLA+,0.2,80,cross,30,4.721333333333333,79.1,636.4163333333332,33809.36666666666,0.012,3339.164,6.073333333333333,3.1
413,closed ,PLA+,0.2,80,gyroid,30,4.124666666666666,78.7,837.1856666666666,43966.1,0.01233333333333333,4107.699333333333,6.196666666666666,3.073333333333334
414,closed ,PLA+,0.2,80,lines,50,5.610666666666667,79.2,787.9546666666666,42544.4,0.01266666666666667,4064.618666666667,6.026666666666666,3.073333333333334
415,closed ,PLA+,0.2,80,cubic subdivision,50,4.086333333333333,77.2,789.005,42231.53333333333,0.01433333333333333,3765.031,6.053333333333334,3.086666666666666
416,closed ,PLA+,0.2,80,quarter cubic,50,4.391333333333333,78.3,909.5480000000001,48281.96666666667,0.01466666666666667,4087.893333333333,6.076666666666667,3.1
417,closed ,PLA+,0.2,80,cross,50,4.7250000000000005,78.5,668.7366666666667,34125.03333333333,0.01333333333333333,3148.226,6.086666666666666,3.22
418,closed ,PLA+,0.2,80,gyroid,50,5.123666666666668,79.1,906.4303333333334,47308.0,0.01433333333333333,4064.251666666667,6.076666666666667,3.153333333333334
419,closed ,PLA+,0.2,80,tri hexagon,70,4.549666666666667,78.2,870.105,43817.76666666666,0.01366666666666667,3946.564666666667,6.186666666666667,3.21
420,closed ,PLA+,0.2,80,cubic subdivision,70,5.635666666666666,78.4,789.2673333333332,40711.1,0.01433333333333333,3597.73,5.996666666666666,3.233333333333333
421,closed ,PLA+,0.2,80,quarter cubic,70,6.485666666666667,78.6,907.3813333333334,45110.9,0.015,3797.705,6.096666666666667,3.299999999999999
422,closed ,PLA+,0.2,80,cross,70,5.196999999999999,78.8,699.8956666666667,34054.5,0.014,3107.258333333333,6.34,3.243333333333334
423,closed ,PLA+,0.2,80,lightning,70,6.134,77.3,666.0126666666666,32395.96666666666,0.01366666666666667,2898.231,6.23,3.299999999999999
424,closed ,PLA+,0.3,20,tri hexagon,30,5.049333333333333,79.2,748.7280000000001,34931.23333333333,0.01266666666666667,3255.158333333333,6.106666666666666,3.51
425,closed ,PLA+,0.3,20,cubic subdivision,30,5.532,78.5,767.71,36854.73333333333,0.01333333333333333,3317.333,6.186666666666667,3.366666666666667
426,closed ,PLA+,0.3,20,quarter cubic,30,6.4433333333333325,77.8,685.1786666666667,33880.96666666667,0.01166666666666667,3356.474333333333,6.153333333333333,3.286666666666667
427,closed ,PLA+,0.3,20,cross3d,30,6.439333333333333,80.5,880.4293333333334,43255.26666666667,0.01333333333333333,3915.116,6.22,3.273333333333333
428,closed ,PLA+,0.3,20,lightning,30,6.509666666666667,80.8,753.1463333333335,37140.6,0.01166666666666667,3720.137666666667,6.073333333333333,3.34
